Index,Hogwarts House
0,Ravenclaw
1,Slytherin
2,Ravenclaw
3,Gryffindor
4,Gryffindor
5,Slytherin
6,Gryffindor
7,Hufflepuff
8,Gryffindor
9,Hufflepuff
10,Hufflepuff
11,Hufflepuff
12,Hufflepuff
13,Slytherin
14,Ravenclaw
15,Ravenclaw
16,Gryffindor
17,Gryffindor
18,Ravenclaw
19,Hufflepuff
20,Gryffindor
21,Gryffindor
22,Ravenclaw
23,Hufflepuff
24,Ravenclaw
25,Hufflepuff
26,Slytherin
27,Hufflepuff
28,Gryffindor
29,Hufflepuff
30,Hufflepuff
31,Gryffindor
32,Ravenclaw
33,Hufflepuff
34,Ravenclaw
35,Ravenclaw
36,Hufflepuff
37,Hufflepuff
38,Slytherin
39,Gryffindor
40,Gryffindor
41,Hufflepuff
42,Ravenclaw
43,Hufflepuff
44,Hufflepuff
45,Ravenclaw
46,Ravenclaw
47,Hufflepuff
48,Slytherin
49,Gryffindor
50,Gryffindor
51,Slytherin
52,Slytherin
53,Ravenclaw
54,Gryffindor
55,Slytherin
56,Hufflepuff
57,Slytherin
58,Hufflepuff
59,Gryffindor
60,Slytherin
61,Ravenclaw
62,Hufflepuff
63,Hufflepuff
64,Hufflepuff
65,Hufflepuff
66,Hufflepuff
67,Ravenclaw
68,Gryffindor
69,Hufflepuff
70,Ravenclaw
71,Slytherin
72,Slytherin
73,Hufflepuff
74,Ravenclaw
75,Hufflepuff
76,Ravenclaw
77,Ravenclaw
78,Hufflepuff
79,Hufflepuff
80,Hufflepuff
81,Slytherin
82,Slytherin
83,Gryffindor
84,Hufflepuff
85,Hufflepuff
86,Hufflepuff
87,Hufflepuff
88,Hufflepuff
89,Gryffindor
90,Gryffindor
91,Gryffindor
92,Ravenclaw
93,Hufflepuff
94,Hufflepuff
95,Hufflepuff
96,Gryffindor
97,Ravenclaw
98,Slytherin
99,Hufflepuff
100,Gryffindor
101,Hufflepuff
102,Ravenclaw
103,Hufflepuff
104,Ravenclaw
105,Gryffindor
106,Slytherin
107,Gryffindor
108,Hufflepuff
109,Slytherin
110,Slytherin
111,Ravenclaw
112,Ravenclaw
113,Ravenclaw
114,Ravenclaw
115,Gryffindor
116,Ravenclaw
117,Slytherin
118,Hufflepuff
119,Hufflepuff
120,Ravenclaw
121,Ravenclaw
122,Ravenclaw
123,Ravenclaw
124,Hufflepuff
125,Slytherin
126,Hufflepuff
127,Slytherin
128,Slytherin
129,Hufflepuff
130,Slytherin
131,Gryffindor
132,Slytherin
133,Hufflepuff
134,Ravenclaw
135,Ravenclaw
136,Ravenclaw
137,Ravenclaw
138,Hufflepuff
139,Gryffindor
140,Gryffindor
141,Ravenclaw
142,Gryffindor
143,Hufflepuff
144,Gryffindor
145,Gryffindor
146,Slytherin
147,Gryffindor
148,Gryffindor
149,Gryffindor
150,Ravenclaw
